Running query: taint_structs.ql on database /home/till/thesis/hantro-db...
|    flow_direction     |             source_function             |              sink_function               |         struct_name          | access_type |             file             |
| Driver query → Kernel | hantro_get_dst_buf                      | config_ref_registers                     | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | rockchip_vpu2_jpeg_enc_done              | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_jpeg_enc.c  |
| Driver query → Kernel | hantro_get_dst_buf                      | config_ref                               | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | hantro_h264_get_ref_buf                  | vb2_v4l2_buffer              | Read        | hantro_h264.c                |
| Driver query → Kernel | hantro_get_dst_buf                      | config_output                            | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | hantro_g1_mpeg2_dec_run                  | vb2_v4l2_buffer              | Read        | hantro_g1_mpeg2_dec.c        |
| Driver query → Kernel | hantro_get_dst_buf                      | update_ctx_cur_info                      | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | rockchip_vpu2_mpeg2_dec_run              | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_mpeg2_dec.c |
| Driver query → Kernel | hantro_get_src_buf                      | rockchip_vpu2_mpeg2_dec_run              | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_mpeg2_dec.c |
| Driver query → Kernel | hantro_get_src_buf                      | set_params                               | vb2_v4l2_buffer              | Read        | hantro_g1_h264_dec.c         |
| Driver query → Kernel | hantro_get_src_buf                      | set_params                               | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_h264_dec.c  |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_g1_mpeg2_dec_run                  | vb2_v4l2_buffer              | Read        | hantro_g1_mpeg2_dec.c        |
| Driver query → Kernel | hantro_get_src_buf                      | rockchip_vpu981_av1_dec_run              | vb2_v4l2_buffer              | Read        | rockchip_vpu981_hw_av1_dec.c |
| Driver query → Kernel | hantro_get_src_buf                      | rockchip_vpu2_jpeg_enc_run               | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_jpeg_enc.c  |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_h1_jpeg_enc_run                   | vb2_v4l2_buffer              | Read        | hantro_h1_jpeg_enc.c         |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_end_prepare_run                   | vb2_v4l2_buffer              | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_start_prepare_run                 | vb2_v4l2_buffer              | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | set_buffers                              | vb2_v4l2_buffer              | Read        | hantro_g1_h264_dec.c         |
| Driver query → Kernel | hantro_get_src_buf                      | set_buffers                              | vb2_v4l2_buffer              | Read        | hantro_g2_hevc_dec.c         |
| Driver query → Kernel | hantro_get_src_buf                      | set_buffers                              | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_h264_dec.c  |
| Driver query → Kernel | hantro_get_src_buf                      | cfg_parts                                | vb2_v4l2_buffer              | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_src_buf                      | cfg_parts                                | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_src_buf                      | config_source                            | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_src_buf                      | rockchip_vpu981_av1_dec_set_input_buffer | vb2_v4l2_buffer              | Read        | rockchip_vpu981_hw_av1_dec.c |
| Driver query → Kernel | hantro_job_finish_no_pm                 | hantro_job_finish_no_pm                  | vb2_v4l2_buffer              | Write       | hantro_drv.c                 |
| Driver query → Kernel | hantro_postproc_g1_enable               | hantro_postproc_g1_enable                | vb2_v4l2_buffer              | Read        | hantro_postproc.c            |
| Driver query → Kernel | start_prepare_run                       | config_ref                               | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | vidioc_querycap                         | vidioc_querycap                          | video_device                 | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_set_fmt_out                       | (unnamed class/struct/union) | Write       | hantro_v4l2.c                |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_set_fmt_cap                       | (unnamed class/struct/union) | Write       | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_enum_framesizes                  | vidioc_enum_framesizes                   | (unnamed class/struct/union) | Write       | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_g_fmt_cap_mplane                 | vidioc_g_fmt_cap_mplane                  | (unnamed class/struct/union) | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_g_fmt_out_mplane                 | vidioc_g_fmt_out_mplane                  | (unnamed class/struct/union) | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_s_fmt_cap_mplane                 | hantro_set_fmt_cap                       | (unnamed class/struct/union) | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_s_fmt_cap_mplane                 | vidioc_s_fmt_cap_mplane                  | (unnamed class/struct/union) | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_s_fmt_out_mplane                 | vidioc_s_fmt_out_mplane                  | (unnamed class/struct/union) | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_s_fmt_out_mplane                 | hantro_set_fmt_out                       | (unnamed class/struct/union) | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_querycap                         | vidioc_querycap                          | device                       | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_querycap                         | vidioc_querycap                          | device_driver                | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_buf_request_complete             | hantro_buf_request_complete              | media_request_object         | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_stop_streaming                   | hantro_return_bufs                       | media_request_object         | Read        | hantro_v4l2.c                |
| Kernel → Driver       | vidioc_querycap                         | vidioc_querycap                          | v4l2_capability              | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_av1_s_ctrl                        | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_try_ctrl                         | hantro_try_ctrl                          | v4l2_ctrl                    | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_av1_s_ctrl                        | v4l2_ctrl_av1_sequence       | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_try_ctrl                         | hantro_try_ctrl                          | v4l2_ctrl_av1_sequence       | Read        | hantro_drv.c                 |
