Running query: find_used_structs.ql on database /home/till/thesis/hantro-db...
|              func_name               |          struct_name          | struct_origin | access_type |             file             |
| v4l2_ctrl_request_clone              | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_clone              | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_clone              | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | list_head                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | media_request                 | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | media_request_object          | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | media_request_object_ops      | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | mutex                         | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | v4l2_ctrl_ops                 | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_complete           | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_unbind             | list_head                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_unbind             | media_request_object          | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_unbind             | mutex                         | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_unbind             | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-request.c         |
