Running query: ioctl_recursive_calls.ql on database /home/till/thesis/hantro-db...
|         caller_file          | core_scope  | unique_ioctls_calling_this |                                                              ioctl_list                                                               |         called_file          |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-core.h             |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-dma-contig.h       |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro.h                     |
| v4l2-ctrls-request.c         | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | mc-request.c                 |
| v4l2-ctrls-request.c         | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | list.h                       |
| v4l2-ctrls-request.c         | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-ctrls-core.c            |
| v4l2-ctrls-request.c         | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-ctrls.h                 |
| v4l2-ctrls-request.c         | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-ctrls-priv.h            |
| hantro_v4l2.c                | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | printk.h                     |
| hantro_v4l2.c                | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| hantro_v4l2.c                | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro_v4l2.c                | 1_Driver    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | rockchip_vpu981_hw_av1_dec.c |
| hantro_v4l2.c                | 1_Driver    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | hantro_postproc.c            |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-event.c                 |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_v4l2.c                |
