Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             caller_func              |             called_func              |             file             |
| 2_kernel | __vb2_queue_cancel                   | media_request_object_put             | mc-request.c                 |
| 2_kernel | __vb2_queue_cancel                   | media_request_put                    | mc-request.c                 |
| 2_kernel | __vb2_queue_cancel                   | atomic_set                           | atomic-instrumented.h        |
| 2_kernel | __vb2_queue_cancel                   | atomic_read                          | atomic-instrumented.h        |
| 2_kernel | __vb2_queue_free                     | kfree                                | slab.h                       |
| 2_kernel | __vb2_queue_free                     | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | find_private_ref                     | list_is_head                         | list.h                       |
| 2_kernel | find_ref_lock                        | mutex_lock                           | mutex.h                      |
| 2_kernel | find_ref_lock                        | mutex_unlock                         | mutex.h                      |
| 2_kernel | frame_vector_destroy                 | kvfree                               | slab.h                       |
| 2_kernel | frame_vector_to_pages                | pfn_valid                            | mmzone.h                     |
| 2_kernel | frame_vector_to_pages                | frame_vector_pfns                    | frame_vector.h               |
| 2_kernel | handler_new_ref                      | mutex_unlock                         | mutex.h                      |
| 2_kernel | handler_new_ref                      | list_empty                           | list.h                       |
| 2_kernel | handler_new_ref                      | list_is_head                         | list.h                       |
| 2_kernel | handler_new_ref                      | list_add_tail                        | list.h                       |
| 2_kernel | handler_new_ref                      | list_add                             | list.h                       |
| 2_kernel | handler_new_ref                      | kfree                                | slab.h                       |
| 2_kernel | handler_new_ref                      | kzalloc_noprof                       | slab.h                       |
| 2_kernel | handler_new_ref                      | mutex_lock                           | mutex.h                      |
| 2_kernel | handler_new_ref                      | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | hantro_postproc_free                 | dma_free_attrs                       | dma-mapping.h                |
| 2_kernel | hantro_queue_setup                   | _printk                              | printk.h                     |
| 2_kernel | hantro_return_bufs                   | v4l2_m2m_buf_done                    | v4l2-mem2mem.h               |
| 2_kernel | hantro_stop_streaming                | v4l2_m2m_has_stopped                 | v4l2-mem2mem.h               |
| 2_kernel | ptr_to_ptr                           | memcpy                               | string_fortified.h           |
| 2_kernel | put_vaddr_frames                     | IS_ERR                               | err.h                        |
| 2_kernel | put_vaddr_frames                     | unpin_user_pages                     | mm.h                         |
| 2_kernel | put_vaddr_frames                     | frame_vector_pages                   | frame_vector.h               |
| 2_kernel | req_alloc_array                      | kvfree                               | slab.h                       |
| 2_kernel | req_alloc_array                      | __kvmalloc_node_noprof               | slab.h                       |
| 2_kernel | rockchip_vpu981_av1_dec_exit         | dma_free_coherent                    | dma-mapping.h                |
| 2_kernel | rockchip_vpu981_av1_dec_tiles_free   | dma_free_coherent                    | dma-mapping.h                |
| 2_kernel | std_init_compound                    | memset                               | string_fortified.h           |
| 2_kernel | std_init_compound                    | memcpy                               | string_fortified.h           |
| 2_kernel | v4l2_ctrl_handler_free               | mutex_destroy                        | mutex.h                      |
| 2_kernel | v4l2_ctrl_handler_free               | mutex_unlock                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_handler_free               | list_del                             | list.h                       |
| 2_kernel | v4l2_ctrl_handler_free               | mutex_lock                           | mutex.h                      |
| 2_kernel | v4l2_ctrl_handler_free               | list_is_head                         | list.h                       |
| 2_kernel | v4l2_ctrl_handler_free               | kvfree                               | slab.h                       |
| 2_kernel | v4l2_ctrl_handler_free               | kfree                                | slab.h                       |
| 2_kernel | v4l2_ctrl_handler_free_request       | list_empty                           | list.h                       |
| 2_kernel | v4l2_ctrl_handler_free_request       | media_request_object_put             | mc-request.c                 |
| 2_kernel | v4l2_ctrl_handler_free_request       | media_request_object_unbind          | mc-request.c                 |
| 2_kernel | v4l2_ctrl_handler_free_request       | list_is_head                         | list.h                       |
| 2_kernel | v4l2_ctrl_handler_init_class         | kvmalloc_array_node_noprof           | slab.h                       |
| 2_kernel | v4l2_ctrl_handler_init_class         | __mutex_init                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_handler_init_class         | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | v4l2_ctrl_handler_init_request       | media_request_object_init            | mc-request.c                 |
| 2_kernel | v4l2_ctrl_handler_init_request       | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | v4l2_ctrl_new                        | mutex_lock                           | mutex.h                      |
| 2_kernel | v4l2_ctrl_new                        | kvfree                               | slab.h                       |
| 2_kernel | v4l2_ctrl_new                        | __kvmalloc_node_noprof               | slab.h                       |
| 2_kernel | v4l2_ctrl_new                        | memcpy                               | string_fortified.h           |
| 2_kernel | v4l2_ctrl_new                        | list_add_tail                        | list.h                       |
| 2_kernel | v4l2_ctrl_new                        | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | v4l2_ctrl_new                        | mutex_unlock                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_bind               | mutex_lock                           | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_bind               | list_add_tail                        | list.h                       |
| 2_kernel | v4l2_ctrl_request_bind               | mutex_unlock                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_bind               | media_request_object_bind            | mc-request.c                 |
| 2_kernel | v4l2_ctrl_request_clone              | mutex_unlock                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_clone              | list_is_head                         | list.h                       |
| 2_kernel | v4l2_ctrl_request_clone              | mutex_lock                           | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_complete           | media_request_object_put             | mc-request.c                 |
| 2_kernel | v4l2_ctrl_request_complete           | v4l2_ctrl_lock                       | v4l2-ctrls.h                 |
| 2_kernel | v4l2_ctrl_request_complete           | kfree                                | slab.h                       |
| 2_kernel | v4l2_ctrl_request_complete           | media_request_object_complete        | mc-request.c                 |
| 2_kernel | v4l2_ctrl_request_complete           | media_request_object_find            | mc-request.c                 |
| 2_kernel | v4l2_ctrl_request_complete           | v4l2_ctrl_unlock                     | v4l2-ctrls.h                 |
| 2_kernel | v4l2_ctrl_request_complete           | list_is_head                         | list.h                       |
| 2_kernel | v4l2_ctrl_request_complete           | list_del_init                        | list.h                       |
| 2_kernel | v4l2_ctrl_request_complete           | mutex_unlock                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_complete           | mutex_lock                           | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_complete           | kzalloc_noprof                       | slab.h                       |
| 2_kernel | v4l2_ctrl_request_unbind             | list_del_init                        | list.h                       |
| 2_kernel | v4l2_ctrl_request_unbind             | mutex_lock                           | mutex.h                      |
| 2_kernel | v4l2_ctrl_request_unbind             | mutex_unlock                         | mutex.h                      |
| 2_kernel | v4l2_ctrl_type_op_init               | memset                               | string_fortified.h           |
| 2_kernel | v4l2_event_queue_fh                  | spinlock_check                       | spinlock.h                   |
| 2_kernel | v4l2_event_queue_fh                  | spin_unlock_irqrestore               | spinlock.h                   |
| 2_kernel | v4l2_event_queue_fh                  | __raw_spin_lock_irqsave              | spinlock_api_smp.h           |
| 2_kernel | v4l2_event_queue_fh                  | ktime_get_ns                         | timekeeping.h                |
| 2_kernel | v4l2_event_subscribed                | queued_spin_is_locked                | qspinlock.h                  |
| 2_kernel | v4l2_event_subscribed                | list_is_head                         | list.h                       |
| 2_kernel | v4l2_m2m_buf_remove                  | spin_unlock_irqrestore               | spinlock.h                   |
| 2_kernel | v4l2_m2m_buf_remove                  | list_empty                           | list.h                       |
| 2_kernel | v4l2_m2m_buf_remove                  | list_del                             | list.h                       |
| 2_kernel | v4l2_m2m_buf_remove                  | __raw_spin_lock_irqsave              | spinlock_api_smp.h           |
| 2_kernel | v4l2_m2m_buf_remove                  | spinlock_check                       | spinlock.h                   |
| 2_kernel | v4l2_m2m_last_buffer_done            | v4l2_m2m_mark_stopped                | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_update_stop_streaming_state | v4l2_m2m_clear_state                 | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_update_stop_streaming_state | v4l2_m2m_dst_buf_remove              | v4l2-mem2mem.h               |
| 2_kernel | v4l_reqbufs                          | generic_test_bit                     | generic-non-atomic.h         |
| 2_kernel | v4l_reqbufs                          | memset                               | string_fortified.h           |
| 2_kernel | v4l_reqbufs                          | const_test_bit                       | generic-non-atomic.h         |
| 2_kernel | vb2_buffer_done                      | media_request_object_put             | mc-request.c                 |
| 2_kernel | vb2_buffer_done                      | trace_vb2_buf_done                   | vb2.h                        |
| 2_kernel | vb2_buffer_done                      | media_request_object_unbind          | mc-request.c                 |
| 2_kernel | vb2_buffer_done                      | atomic_dec                           | atomic-instrumented.h        |
| 2_kernel | vb2_buffer_done                      | __raw_spin_lock_irqsave              | spinlock_api_smp.h           |
| 2_kernel | vb2_buffer_done                      | _printk                              | printk.h                     |
| 2_kernel | vb2_buffer_done                      | spinlock_check                       | spinlock.h                   |
| 2_kernel | vb2_buffer_done                      | spin_unlock_irqrestore               | spinlock.h                   |
| 2_kernel | vb2_buffer_done                      | list_add_tail                        | list.h                       |
| 2_kernel | vb2_buffer_done                      | __wake_up                            | wait.h                       |
| 2_kernel | vb2_core_allocated_buffers_storage   | kmalloc_array_noprof                 | slab.h                       |
| 2_kernel | vb2_core_allocated_buffers_storage   | kfree                                | slab.h                       |
| 2_kernel | vb2_core_allocated_buffers_storage   | bitmap_zalloc                        | bitmap.h                     |
| 2_kernel | vb2_core_free_buffers_storage        | kfree                                | slab.h                       |
| 2_kernel | vb2_core_free_buffers_storage        | bitmap_free                          | bitmap.h                     |
| 2_kernel | vb2_core_reqbufs                     | _printk                              | printk.h                     |
| 2_kernel | vb2_core_reqbufs                     | memset                               | string_fortified.h           |
| 2_kernel | vb2_core_reqbufs                     | mutex_unlock                         | mutex.h                      |
| 2_kernel | vb2_core_reqbufs                     | mutex_lock                           | mutex.h                      |
| 2_kernel | vb2_dc_alloc                         | ERR_PTR                              | err.h                        |
| 2_kernel | vb2_dc_alloc                         | get_device                           | device.h                     |
| 2_kernel | vb2_dc_alloc                         | _dev_err                             | dev_printk.h                 |
| 2_kernel | vb2_dc_alloc                         | kfree                                | slab.h                       |
| 2_kernel | vb2_dc_alloc                         | kzalloc_noprof                       | slab.h                       |
| 2_kernel | vb2_dc_alloc                         | refcount_set                         | refcount.h                   |
| 2_kernel | vb2_dc_alloc_coherent                | dma_alloc_attrs                      | dma-mapping.h                |
| 2_kernel | vb2_dc_alloc_non_coherent            | dma_alloc_noncontiguous              | dma-mapping.h                |
| 2_kernel | vb2_dc_detach_dmabuf                 | kfree                                | slab.h                       |
| 2_kernel | vb2_dc_detach_dmabuf                 | dma_buf_detach                       | dma-buf.h                    |
| 2_kernel | vb2_dc_finish                        | invalidate_kernel_vmap_range         | highmem.h                    |
| 2_kernel | vb2_dc_finish                        | dma_sync_sgtable_for_cpu             | dma-mapping.h                |
| 2_kernel | vb2_dc_num_users                     | refcount_read                        | refcount.h                   |
| 2_kernel | vb2_dc_put                           | kfree                                | slab.h                       |
| 2_kernel | vb2_dc_put                           | sg_free_table                        | scatterlist.h                |
| 2_kernel | vb2_dc_put                           | put_device                           | device.h                     |
| 2_kernel | vb2_dc_put                           | dma_vunmap_noncontiguous             | dma-mapping.h                |
| 2_kernel | vb2_dc_put                           | refcount_dec_and_test                | refcount.h                   |
| 2_kernel | vb2_dc_put                           | dma_free_noncontiguous               | dma-mapping.h                |
| 2_kernel | vb2_dc_put                           | dma_free_attrs                       | dma-mapping.h                |
| 2_kernel | vb2_dc_put_userptr                   | dma_unmap_sgtable                    | dma-mapping.h                |
| 2_kernel | vb2_dc_put_userptr                   | kfree                                | slab.h                       |
| 2_kernel | vb2_dc_put_userptr                   | set_page_dirty_lock                  | mm.h                         |
| 2_kernel | vb2_dc_put_userptr                   | sg_free_table                        | scatterlist.h                |
| 2_kernel | vb2_dc_put_userptr                   | dma_unmap_resource                   | dma-mapping.h                |
| 2_kernel | vb2_dc_put_userptr                   | frame_vector_pages                   | frame_vector.h               |
| 2_kernel | vb2_dc_put_userptr                   | frame_vector_count                   | frame_vector.h               |
| 2_kernel | vb2_dc_put_userptr                   | IS_ERR                               | err.h                        |
| 2_kernel | vb2_dc_unmap_dmabuf                  | _printk                              | printk.h                     |
| 2_kernel | vb2_dc_unmap_dmabuf                  | dma_buf_unmap_attachment_unlocked    | dma-buf.h                    |
| 2_kernel | vb2_dc_unmap_dmabuf                  | dma_buf_vunmap_unlocked              | dma-buf.h                    |
| 2_kernel | vb2_get_buffer                       | const_test_bit                       | generic-non-atomic.h         |
| 2_kernel | vb2_get_buffer                       | generic_test_bit                     | generic-non-atomic.h         |
| 2_kernel | vb2_get_num_buffers                  | bitmap_weight                        | bitmap.h                     |
| 2_kernel | vb2_queue_add_buffer                 | const_test_bit                       | generic-non-atomic.h         |
| 2_kernel | vb2_queue_add_buffer                 | set_bit                              | instrumented-atomic.h        |
| 2_kernel | vb2_queue_add_buffer                 | generic_test_bit                     | generic-non-atomic.h         |
| 2_kernel | vb2_queue_remove_buffer              | clear_bit                            | instrumented-atomic.h        |
| 2_kernel | vb2_verify_memory_type               | _printk                              | printk.h                     |
| 2_kernel | verify_coherency_flags               | _printk                              | printk.h                     |
| 2_kernel | video_devdata                        | file_inode                           | fs.h                         |
| 2_kernel | video_devdata                        | iminor                               | fs.h                         |
