Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                     col0                     |             col1             |
| vmalloc_user_noprof                          | vmalloc.h                    |
| vm_map_ram                                   | vmalloc.h                    |
| vm_unmap_ram                                 | vmalloc.h                    |
| __compiletime_assert_624                     | imx7-media-csi.c             |
| __compiletime_assert_624                     | vsp1_video.c                 |
| __compiletime_assert_624                     | j721e-csi2rx.c               |
| __compiletime_assert_624                     | vdec_av1_req_lat_if.c        |
| __compiletime_assert_624                     | pm_helpers.c                 |
| __compiletime_assert_624                     | camss-video.c                |
| __compiletime_assert_624                     | meson-ir.c                   |
| __compiletime_assert_624                     | hantro_jpeg.c                |
| __compiletime_assert_624                     | rockchip_vpu981_hw_av1_dec.c |
| __compiletime_assert_624                     | imx8-isi-crossbar.c          |
| __compiletime_assert_624                     | vdec_vp9_req_lat_if.c        |
| __compiletime_assert_624                     | wave5-vpu-enc.c              |
| __compiletime_assert_624                     | ov5640.c                     |
| __compiletime_assert_624                     | wave5-hw.c                   |
| __compiletime_assert_624                     | hantro_g1_vp8_dec.c          |
| __compiletime_assert_624                     | vsp1_entity.c                |
| __compiletime_assert_624                     | vsp1_sru.c                   |
| __compiletime_assert_624                     | vsp1_hsit.c                  |
| __compiletime_assert_624                     | rockchip_vpu2_hw_vp8_dec.c   |
| __compiletime_assert_624                     | vsp1_uif.c                   |
| __compiletime_assert_624                     | vpu_malone.c                 |
| __compiletime_assert_624                     | vsp1_histo.c                 |
| __compiletime_assert_624                     | vsp1_rwpf.c                  |
| __compiletime_assert_624                     | imx8-isi-m2m.c               |
| __compiletime_assert_624                     | vpu_helpers.c                |
| __compiletime_assert_624                     | imx219.c                     |
| __compiletime_assert_624                     | mtk_vcodec_dec.c             |
| __compiletime_assert_624                     | ov5647.c                     |
| __compiletime_assert_624                     | rkvdec2.c                    |
| __compiletime_assert_624                     | rzg2l-ip.c                   |
| __compiletime_assert_624                     | mtk_vcodec_dec_drv.c         |
| __compiletime_assert_624                     | rcar_fdp1.c                  |
| __compiletime_assert_624                     | vpu_core.c                   |
| __compiletime_assert_624                     | imx8-isi-pipe.c              |
| __compiletime_assert_624                     | vsp1_brx.c                   |
| __compiletime_assert_624                     | kvm_host.h                   |
| __compiletime_assert_624                     | control.h                    |
| __compiletime_assert_621                     | rcar_drif.c                  |
| __compiletime_assert_621                     | meson-ir.c                   |
| __compiletime_assert_621                     | hantro_jpeg.c                |
| __compiletime_assert_621                     | vdec_vp8_if.c                |
| __compiletime_assert_621                     | wave5-hw.c                   |
| __compiletime_assert_621                     | v4l2-common.c                |
| __compiletime_assert_621                     | ov4689.c                     |
| __compiletime_assert_621                     | rzg2l-csi2.c                 |
| __compiletime_assert_621                     | imx219.c                     |
| __compiletime_assert_621                     | ov5647.c                     |
| __compiletime_assert_621                     | rkvdec2-h264.c               |
| __compiletime_assert_621                     | ov7251.c                     |
| __compiletime_assert_621                     | kvm_host.h                   |
| __compiletime_assert_621                     | pci.h                        |
| __compiletime_assert_621                     | dma-fence.h                  |
| __compiletime_assert_621                     | control.h                    |
| __compiletime_assert_620                     | meson-ir.c                   |
| __compiletime_assert_620                     | ov5640.c                     |
| __compiletime_assert_620                     | vsp1_entity.c                |
| __compiletime_assert_620                     | vsp1_sru.c                   |
| __compiletime_assert_620                     | vsp1_hsit.c                  |
| __compiletime_assert_620                     | vsp1_uif.c                   |
| __compiletime_assert_620                     | v4l2-subdev.c                |
| __compiletime_assert_620                     | ov7251.c                     |
| __compiletime_assert_620                     | kvm_host.h                   |
| __compiletime_assert_620                     | pci.h                        |
| __compiletime_assert_620                     | v4l2-rect.h                  |
| __compiletime_assert_644                     | j721e-csi2rx.c               |
| __compiletime_assert_644                     | camss-video.c                |
| __compiletime_assert_644                     | rockchip_vpu981_hw_av1_dec.c |
| __compiletime_assert_644                     | venc.c                       |
| __compiletime_assert_644                     | wave5-hw.c                   |
| __compiletime_assert_644                     | vsp1_histo.c                 |
| __compiletime_assert_644                     | mtk_jpeg_core.c              |
| __compiletime_assert_644                     | imx8-isi-pipe.c              |
| __compiletime_assert_644                     | pagemap.h                    |
| __compiletime_assert_641                     | j721e-csi2rx.c               |
| __compiletime_assert_641                     | vdec_av1_req_lat_if.c        |
| __compiletime_assert_641                     | venc.c                       |
| __compiletime_assert_641                     | wave5-hw.c                   |
| __compiletime_assert_641                     | mtk_jpeg_core.c              |
| __compiletime_assert_641                     | pagemap.h                    |
| __compiletime_assert_638                     | vsp1_uds.c                   |
| __compiletime_assert_638                     | vsp1_video.c                 |
| __compiletime_assert_638                     | uvc_video.c                  |
| __compiletime_assert_638                     | j721e-csi2rx.c               |
| __compiletime_assert_638                     | helpers.c                    |
| __compiletime_assert_638                     | venc.c                       |
| __compiletime_assert_638                     | wave5-hw.c                   |
| __compiletime_assert_638                     | uvc_ctrl.c                   |
| __compiletime_assert_638                     | snps_hdmirx.c                |
| __compiletime_assert_638                     | mtk_jpeg_core.c              |
| __compiletime_assert_638                     | pagemap.h                    |
| __compiletime_assert_635                     | vsp1_video.c                 |
| __compiletime_assert_635                     | uvc_video.c                  |
| __compiletime_assert_635                     | j721e-csi2rx.c               |
| __compiletime_assert_635                     | helpers.c                    |
| __compiletime_assert_635                     | venc.c                       |
| __compiletime_assert_635                     | mtk_vcodec_enc.c             |
| __compiletime_assert_635                     | wave5-hw.c                   |
| __compiletime_assert_635                     | wave5-vpu-dec.c              |
| __compiletime_assert_635                     | videobuf2-core.c             |
| __compiletime_assert_635                     | dvb_frontend.c               |
| __compiletime_assert_635                     | rcar_fdp1.c                  |
| __compiletime_assert_635                     | imx8-isi-video.c             |
| __compiletime_assert_635                     | pagemap.h                    |
| __compiletime_assert_635                     | v4l2-rect.h                  |
| __compiletime_assert_649                     | j721e-csi2rx.c               |
| __compiletime_assert_649                     | wave5-hw.c                   |
| __compiletime_assert_649                     | jpeg-core.c                  |
| __compiletime_assert_649                     | vdec_vp9_if.c                |
| __compiletime_assert_649                     | e5010-jpeg-enc.c             |
| __compiletime_assert_649                     | swap.h                       |
| alternative_has_cap_unlikely                 | alternative-macros.h         |
| alternative_has_cap_likely                   | alternative-macros.h         |
| __compiletime_assert_10                      | cmpxchg.h                    |
| __compiletime_assert_10                      | gettimeofday.c               |
| __compiletime_assert_493                     | meson-ir.c                   |
| __compiletime_assert_493                     | ao-cec-g12a.c                |
| __compiletime_assert_493                     | ao-cec.c                     |
| __compiletime_assert_493                     | cec-api.c                    |
| __compiletime_assert_493                     | rc-ir-raw.c                  |
| __compiletime_assert_493                     | mm.h                         |
| __compiletime_assert_493                     | user_namespace.h             |
| __compiletime_assert_493                     | pm_runtime.h                 |
| i2c_transfer                                 | i2c.h                        |
| i2c_master_send                              | i2c.h                        |
| i2c_master_recv                              | i2c.h                        |
| i2c_transfer_buffer_flags                    | i2c.h                        |
| regmap_bulk_read                             | regmap.h                     |
| regmap_bulk_write                            | regmap.h                     |
| regmap_get_device                            | regmap.h                     |
| frame_vector_pfns                            | frame_vector.h               |
| frame_vector_pages                           | frame_vector.h               |
| frame_vector_count                           | frame_vector.h               |
| frame_vector_to_pfns                         | frame_vector.c               |
| frame_vector_to_pages                        | frame_vector.c               |
| put_vaddr_frames                             | frame_vector.c               |
| frame_vector_destroy                         | frame_vector.c               |
| vb2_get_buffer                               | videobuf2-core.h             |
| vb2_plane_size                               | videobuf2-core.h             |
| vb2_set_plane_payload                        | videobuf2-core.h             |
| vb2_get_drv_priv                             | videobuf2-core.h             |
| vb2_is_busy                                  | videobuf2-core.h             |
| vb2_get_num_buffers                          | videobuf2-core.h             |
| vb2_fileio_is_active                         | videobuf2-core.h             |
| vb2_is_streaming                             | videobuf2-core.h             |
| vb2_queue_allows_cache_hints                 | videobuf2-core.h             |
| vb2_verify_memory_type                       | videobuf2-core.c             |
| vb2_buffer_in_use                            | videobuf2-core.c             |
| vb2_core_reqbufs                             | videobuf2-core.c             |
| vb2_buffer_done                              | videobuf2-core.c             |
| vb2_plane_cookie                             | videobuf2-core.c             |
| vb2_plane_vaddr                              | videobuf2-core.c             |
| video_device_pipeline_alloc_start            | v4l2-dev.c                   |
| __video_device_pipeline_stop                 | v4l2-dev.c                   |
| video_device_pipeline_stop                   | v4l2-dev.c                   |
| video_device_pipeline_start                  | v4l2-dev.c                   |
| video_drvdata                                | v4l2-dev.h                   |
| video_devdata                                | v4l2-dev.c                   |
| video_get_drvdata                            | v4l2-dev.h                   |
| v4l2_subdev_is_streaming                     | v4l2-subdev.c                |
| v4l2_subdev_lock_and_get_active_state        | v4l2-subdev.h                |
| v4l2_subdev_get_locked_active_state          | v4l2-subdev.h                |
| v4l2_subdev_get_unlocked_active_state        | v4l2-subdev.h                |
| v4l2_subdev_unlock_state                     | v4l2-subdev.h                |
| v4l2_subdev_lock_state                       | v4l2-subdev.h                |
| v4l2_subdev_disable_streams                  | v4l2-subdev.c                |
| __v4l2_subdev_state_get_format               | v4l2-subdev.c                |
| v4l2_get_subdevdata                          | v4l2-subdev.h                |
| trace_vb2_buf_done                           | vb2.h                        |
| __vb2_queue_cancel                           | videobuf2-core.c             |
| __vb2_dqbuf                                  | videobuf2-core.c             |
| vb2_core_free_buffers_storage                | videobuf2-core.c             |
| vb2_core_allocated_buffers_storage           | videobuf2-core.c             |
| verify_coherency_flags                       | videobuf2-core.c             |
| set_queue_coherency                          | videobuf2-core.c             |
| __verify_dmabuf_ops                          | videobuf2-core.c             |
| __verify_mmap_ops                            | videobuf2-core.c             |
| __verify_userptr_ops                         | videobuf2-core.c             |
| __buffers_in_use                             | videobuf2-core.c             |
| __vb2_queue_free                             | videobuf2-core.c             |
| __vb2_free_mem                               | videobuf2-core.c             |
| __vb2_queue_alloc                            | videobuf2-core.c             |
| vb2_queue_remove_buffer                      | videobuf2-core.c             |
| vb2_queue_add_buffer                         | videobuf2-core.c             |
| init_buffer_cache_hints                      | videobuf2-core.c             |
| __setup_offsets                              | videobuf2-core.c             |
| __vb2_buf_mem_finish                         | videobuf2-core.c             |
| __vb2_buf_dmabuf_put                         | videobuf2-core.c             |
| __vb2_plane_dmabuf_put                       | videobuf2-core.c             |
| __vb2_buf_userptr_put                        | videobuf2-core.c             |
| __vb2_buf_mem_free                           | videobuf2-core.c             |
| __vb2_buf_mem_alloc                          | videobuf2-core.c             |
| vb2_state_name                               | videobuf2-core.c             |
| vb2_ioctl_reqbufs                            | videobuf2-v4l2.c             |
| vb2_queue_is_busy                            | videobuf2-v4l2.h             |
| vb2_reqbufs                                  | videobuf2-v4l2.c             |
| vb2_dma_contig_plane_dma_addr                | videobuf2-dma-contig.h       |
| vb2_destroy_framevec                         | videobuf2-memops.c           |
| vb2_dc_detach_dmabuf                         | videobuf2-dma-contig.c       |
| vb2_dc_unmap_dmabuf                          | videobuf2-dma-contig.c       |
| vb2_dc_put_userptr                           | videobuf2-dma-contig.c       |
| vb2_dc_alloc                                 | videobuf2-dma-contig.c       |
| vb2_dc_alloc_non_coherent                    | videobuf2-dma-contig.c       |
| vb2_dc_alloc_coherent                        | videobuf2-dma-contig.c       |
| vb2_dc_put                                   | videobuf2-dma-contig.c       |
| vb2_dc_finish                                | videobuf2-dma-contig.c       |
| vb2_dc_num_users                             | videobuf2-dma-contig.c       |
| vb2_dc_vaddr                                 | videobuf2-dma-contig.c       |
| vb2_dc_cookie                                | videobuf2-dma-contig.c       |
| vb2_dma_sg_plane_desc                        | videobuf2-dma-sg.h           |
| vb2_dma_sg_cookie                            | videobuf2-dma-sg.c           |
| vb2_dma_sg_detach_dmabuf                     | videobuf2-dma-sg.c           |
| vb2_dma_sg_unmap_dmabuf                      | videobuf2-dma-sg.c           |
| vb2_dma_sg_num_users                         | videobuf2-dma-sg.c           |
| vb2_dma_sg_vaddr                             | videobuf2-dma-sg.c           |
| vb2_dma_sg_put_userptr                       | videobuf2-dma-sg.c           |
